Block Name,Point ID,FamilyIdNode,Points_0,Points_1,Points_2,Points_Magnitude,Temperature
dataset_1,0,1,0,0,0,0,34.981
dataset_1,1,1,0,0,0.02,0.02,36.7518
dataset_1,2,1,0,0.01,0.02,0.0223607,40.4298
dataset_1,3,1,0,0.04,0.02,0.0447214,40.2252
dataset_1,4,1,0,0.05,0.02,0.0538516,36.537
dataset_1,5,1,0,0.05,0,0.05,34.7984
dataset_1,6,1,0.03,0,0,0.03,34.7265
dataset_1,7,1,0.03,0,0.02,0.0360555,36.4545
dataset_1,8,2,0.015,0,0.016,0.0219317,35.075
dataset_1,9,1,0.03,0.01,0.02,0.0374166,39.9279
dataset_1,10,1,0.03,0.04,0.02,0.0538516,38.6964
dataset_1,11,1,0.03,0.05,0.02,0.0616441,35.8931
dataset_1,12,1,0.03,0.05,0,0.0583095,34.437
dataset_1,13,3,0.015,0.05,0.016,0.0545985,34.7706
dataset_1,14,4,0.015,0.05,0.015,0.0543139,34.4362
dataset_1,15,5,0.015,0,0.015,0.0212132,34.7187
dataset_1,16,0,-1.0842e-19,0.01,0.0245,0.0264622,49.2439
dataset_1,17,0,-1.0842e-19,0.04,0.0245,0.0469068,49.0065
dataset_1,18,0,0.03,0.01,0.0245,0.0400031,48.8695
dataset_1,19,0,0.0005,0.0105,0.025,0.0271201,49.5281
dataset_1,20,0,0.0005,0.0395,0.025,0.0467493,49.2907
dataset_1,21,0,0.03,0.04,0.0245,0.0556799,45.3125
dataset_1,22,0,0.0295,0.0105,0.025,0.0400687,49.182
dataset_1,23,0,0.0295,0.0395,0.025,0.0552766,45.5314
dataset_1,24,1,0,0,0.005,0.005,35.1335
dataset_1,25,1,0,0,0.01,0.01,35.6873
dataset_1,26,1,0,0,0.015,0.015,36.4061
dataset_1,27,1,0,0.005,0.02,0.0206155,37.4975
dataset_1,28,1,0,0.012,0.02,0.0233238,41.8152
dataset_1,29,1,0,0.014,0.02,0.0244131,42.5631
dataset_1,30,1,0,0.016,0.02,0.0256125,43.0951
dataset_1,31,1,0,0.018,0.02,0.0269072,43.516
dataset_1,32,1,0,0.02,0.02,0.0282843,43.8366
dataset_1,33,1,0,0.022,0.02,0.0297321,44.0812
dataset_1,34,1,0,0.024,0.02,0.031241,44.1886
dataset_1,35,1,0,0.026,0.02,0.0328024,44.1781
dataset_1,36,1,0,0.028,0.02,0.0344093,44.0716
dataset_1,37,1,0,0.03,0.02,0.0360555,43.8127
dataset_1,38,1,0,0.032,0.02,0.0377359,43.4482
dataset_1,39,1,0,0.034,0.02,0.0394462,42.9792
dataset_1,40,1,0,0.036,0.02,0.0411825,42.3807
dataset_1,41,1,0,0.038,0.02,0.0429418,41.5935
dataset_1,42,1,0,0.045,0.02,0.0492443,37.205
dataset_1,43,1,0,0.05,0.005,0.0502494,34.9834
dataset_1,44,1,0,0.05,0.01,0.0509902,35.5057
dataset_1,45,1,0,0.05,0.015,0.0522015,36.1956
dataset_1,46,1,0,0.005,0,0.005,35.0434
dataset_1,47,1,0,0.01,0,0.01,35.2224
dataset_1,48,1,0,0.015,0,0.015,35.4312
dataset_1,49,1,0,0.02,0,0.02,35.5926
dataset_1,50,1,0,0.025,0,0.025,35.6254
