Points_0,Points_1,Points_2,Temperature
0.0,0.0,0.0,34.981
0.0,0.0,0.02,36.7518
0.0,0.01,0.02,40.4298
0.0,0.04,0.02,40.2252
0.0,0.05,0.02,36.537
0.0,0.05,0.0,34.7984
0.03,0.0,0.0,34.7265
0.03,0.0,0.02,36.4545
0.015,0.0,0.016,35.075
0.03,0.01,0.02,39.9279
0.03,0.04,0.02,38.6964
0.03,0.05,0.02,35.8931
0.03,0.05,0.0,34.437
0.015,0.05,0.016,34.7706
0.015,0.05,0.015,34.4362
0.015,0.0,0.015,34.7187
-1.0842000000000001e-19,0.01,0.0245,49.2439
-1.0842000000000001e-19,0.04,0.0245,49.0065
0.03,0.01,0.0245,48.8695
0.0005,0.0105,0.025,49.5281
0.0005,0.0395,0.025,49.2907
0.03,0.04,0.0245,45.3125
0.0295,0.0105,0.025,49.182
0.0295,0.0395,0.025,45.5314
0.0,0.0,0.005,35.1335
0.0,0.0,0.01,35.6873
0.0,0.0,0.015,36.4061
0.0,0.005,0.02,37.4975
0.0,0.012,0.02,41.8152
0.0,0.014,0.02,42.5631
0.0,0.016,0.02,43.0951
0.0,0.018,0.02,43.516
0.0,0.02,0.02,43.8366
0.0,0.022,0.02,44.0812
0.0,0.024,0.02,44.1886
0.0,0.026,0.02,44.1781
0.0,0.028,0.02,44.0716
0.0,0.03,0.02,43.8127
0.0,0.032,0.02,43.4482
0.0,0.034,0.02,42.9792
0.0,0.036,0.02,42.3807
0.0,0.038,0.02,41.5935
0.0,0.045,0.02,37.205
0.0,0.05,0.005,34.9834
0.0,0.05,0.01,35.5057
0.0,0.05,0.015,36.1956
0.0,0.005,0.0,35.0434
0.0,0.01,0.0,35.2224
0.0,0.015,0.0,35.4312
0.0,0.02,0.0,35.5926
0.0,0.025,0.0,35.6254
0.0,0.03,0.0,35.5388
0.0,0.035,0.0,35.3477
0.0,0.04,0.0,35.109
0.0,0.045,0.0,34.9097
0.005,0.0,0.0,34.7223
0.01,0.0,0.0,34.0977
0.015,0.0,0.0,33.6505
0.02,0.0,0.0,33.9759
0.025,0.0,0.0,34.4852
0.03,0.0,0.005,34.9087
0.03,0.0,0.01,35.397
0.03,0.0,0.015,36.103
0.005,0.0,0.02,36.5278
0.01,0.0,0.02,36.0366
0.015,0.0,0.02,35.6209
0.02,0.0,0.02,35.833
0.025,0.0,0.02,36.2604
0.0165529,0.0,0.0157956,35.018
0.018,0.0,0.0151962,34.9913
0.0192426,0.0,0.0142426,34.9098
0.0201962,0.0,0.013,34.7704
0.0207956,0.0,0.0115529,34.5584
0.021,0.0,0.01,34.3165
0.0207956,0.0,0.00844709,34.0733
0.0201962,0.0,0.007,33.8446
0.0192426,0.0,0.00575736,33.6401
0.018,0.0,0.00480385,33.4832
0.0165529,0.0,0.00420445,33.3806
0.015,0.0,0.004,33.358
0.0134471,0.0,0.00420445,33.4294
0.012,0.0,0.00480385,33.582
0.0107574,0.0,0.00575736,33.7755
0.00980385,0.0,0.007,34.0046
0.00920445,0.0,0.00844709,34.2577
0.009,0.0,0.01,34.5198
0.00920445,0.0,0.0115529,34.7623
0.00980385,0.0,0.013,34.9535
0.0107574,0.0,0.0142426,35.0757
0.012,0.0,0.0151962,35.1179
0.0134471,0.0,0.0157956,35.1067
0.002,0.01,0.02,40.5183
0.004,0.01,0.02,40.3427
0.006,0.01,0.02,40.1783
0.008,0.01,0.02,39.9822
0.01,0.01,0.02,39.7598
0.012,0.01,0.02,39.6285
0.014,0.01,0.02,39.5479
0.016,0.01,0.02,39.4768
0.018,0.01,0.02,39.4031
0.02,0.01,0.02,39.5601
0.022,0.01,0.02,39.5595
0.024,0.01,0.02,39.604
0.026,0.01,0.02,39.7963
0.028,0.01,0.02,39.9317
0.03,0.005,0.02,37.0684
0.002,0.04,0.02,40.2704
0.004,0.04,0.02,40.0699
0.006,0.04,0.02,39.8452
0.008,0.04,0.02,39.6013
0.01,0.04,0.02,39.2863
0.012,0.04,0.02,39.1099
0.014,0.04,0.02,38.8288
0.016,0.04,0.02,38.6719
0.018,0.04,0.02,38.5347
0.02,0.04,0.02,38.5105
0.022,0.04,0.02,38.6005
0.024,0.04,0.02,38.5747
0.026,0.04,0.02,38.6648
0.028,0.04,0.02,38.77
0.03,0.012,0.02,40.971
0.03,0.014,0.02,41.3943
0.03,0.016,0.02,41.6131
0.03,0.018,0.02,41.7105
0.03,0.02,0.02,41.7321
0.03,0.022,0.02,41.6914
0.03,0.024,0.02,41.6015
0.03,0.026,0.02,41.475
0.03,0.028,0.02,41.3274
0.03,0.03,0.02,41.1341
0.03,0.032,0.02,40.8909
0.03,0.034,0.02,40.5911
0.03,0.036,0.02,40.2033
0.03,0.038,0.02,39.696
0.005,0.05,0.02,36.311
0.01,0.05,0.02,35.735
0.015,0.05,0.02,35.2763
0.02,0.05,0.02,35.4379
0.025,0.05,0.02,35.7406
0.03,0.045,0.02,36.463
0.005,0.05,0.0,34.5744
0.01,0.05,0.0,33.9504
0.015,0.05,0.0,33.5067
0.02,0.05,0.0,33.7591
0.025,0.05,0.0,34.241
0.03,0.05,0.005,34.6093
0.03,0.05,0.01,35.0154
0.03,0.05,0.015,35.6083
0.0165529,0.05,0.0157956,34.7
0.018,0.05,0.0151962,34.6451
0.0192426,0.05,0.0142426,34.5533
0.0201962,0.05,0.013,34.4174
0.0207956,0.05,0.0115529,34.2364
0.021,0.05,0.01,34.0256
0.0207956,0.05,0.00844709,33.8159
0.0201962,0.05,0.007,33.614
0.0192426,0.05,0.00575736,33.4396
0.018,0.05,0.00480385,33.3057
0.0165529,0.05,0.00420445,33.2273
0.015,0.05,0.004,33.2205
0.0134471,0.05,0.00420445,33.297
0.012,0.05,0.00480385,33.453
0.0107574,0.05,0.00575736,33.6531
0.00980385,0.05,0.007,33.8791
0.00920445,0.05,0.00844709,34.1166
0.009,0.05,0.01,34.356
0.00920445,0.05,0.0115529,34.5807
0.00980385,0.05,0.013,34.7499
0.0107574,0.05,0.0142426,34.8399
0.012,0.05,0.0151962,34.8606
0.0134471,0.05,0.0157956,34.8125
0.03,0.005,0.0,34.8049
0.03,0.01,0.0,34.9052
0.03,0.015,0.0,35.0987
0.03,0.02,0.0,35.1822
0.03,0.025,0.0,35.171
0.03,0.03,0.0,35.0686
0.03,0.035,0.0,34.8976
0.03,0.04,0.0,34.6851
0.03,0.045,0.0,34.5098
0.015,0.0015625,0.016,35.1044
0.015,0.003125,0.016,35.2657
0.015,0.0046875,0.016,35.5178
0.015,0.00625,0.016,35.8728
0.015,0.0078125,0.016,36.3227
0.015,0.009375,0.016,36.7877
0.015,0.0109375,0.016,37.245
0.015,0.0125,0.016,37.5682
0.015,0.0140625,0.016,37.735
0.015,0.015625,0.016,37.8046
0.015,0.0171875,0.016,37.7891
0.015,0.01875,0.016,37.7405
0.015,0.0203125,0.016,37.6725
0.015,0.021875,0.016,37.6038
0.015,0.0234375,0.016,37.5512
0.015,0.025,0.016,37.5061
0.015,0.0265625,0.016,37.4825
0.015,0.028125,0.016,37.4728
0.015,0.0296875,0.016,37.4716
0.015,0.03125,0.016,37.48
0.015,0.0328125,0.016,37.4642
0.015,0.034375,0.016,37.4125
0.015,0.0359375,0.016,37.3013
0.015,0.0375,0.016,37.0976
0.015,0.0390625,0.016,36.7748
0.015,0.040625,0.016,36.3554
0.015,0.0421875,0.016,35.9126
0.015,0.04375,0.016,35.4947
0.015,0.0453125,0.016,35.1664
0.015,0.046875,0.016,34.9443
0.015,0.0484375,0.016,34.7939
0.0165451,0.05,0.0147553,34.3435
0.0179389,0.05,0.0140451,34.2661
0.0190451,0.05,0.0129389,34.1384
0.0197553,0.05,0.0115451,33.9532
0.02,0.05,0.01,33.7259
0.0197553,0.05,0.00845492,33.4948
0.0190451,0.05,0.00706107,33.2828
0.0179389,0.05,0.00595492,33.1114
0.0165451,0.05,0.00524472,33.0074
0.015,0.05,0.005,32.996
0.0134549,0.05,0.00524472,33.088
0.0120611,0.05,0.00595492,33.2711
0.0109549,0.05,0.00706107,33.5042
0.0102447,0.05,0.00845492,33.77
0.01,0.05,0.01,34.0327
0.0102447,0.05,0.0115451,34.2638
0.0109549,0.05,0.0129389,34.422
0.0120611,0.05,0.0140451,34.4903
0.0134549,0.05,0.0147553,34.4607
0.0165451,0.0,0.0147553,34.6408
0.0179389,0.0,0.0140451,34.5915
0.0190451,0.0,0.0129389,34.4633
0.0197553,0.0,0.0115451,34.253
0.02,0.0,0.01,33.9945
0.0197553,0.0,0.00845492,33.7272
0.0190451,0.0,0.00706107,33.4823
0.0179389,0.0,0.00595492,33.2816
0.0165451,0.0,0.00524472,33.1551
0.015,0.0,0.005,33.1233
0.0134549,0.0,0.00524472,33.207
