Points_0,Points_1,Points_2,Temperature
0.0005,0.0105,0.025,49.5281
0.0005,0.0395,0.025,49.2907
0.0295,0.0105,0.025,49.182
0.0295,0.0395,0.025,45.5314
0.0005,0.0106564,0.025,49.56
0.0005,0.0108535,0.025,49.6115
0.0005,0.0110505,0.025,49.6717
0.0005,0.0112475,0.025,49.7394
0.0005,0.0114444,0.025,49.8142
0.0005,0.0116414,0.025,49.8948
0.0005,0.0118384,0.025,49.9811
0.0005,0.0120354,0.025,50.0685
0.0005,0.0122323,0.025,50.1623
0.0005,0.0124293,0.025,50.2597
0.0005,0.0126263,0.025,50.3574
0.0005,0.0128233,0.025,50.4577
0.0005,0.0130202,0.025,50.5659
0.0005,0.0132172,0.025,50.669
0.0005,0.0134142,0.025,50.7767
0.0005,0.0136112,0.025,50.8886
0.0005,0.0138081,0.025,50.9997
0.0005,0.0140051,0.025,51.1116
0.0005,0.0142021,0.025,51.2269
0.0005,0.0143991,0.025,51.3431
0.0005,0.014596,0.025,51.4619
0.0005,0.014793,0.025,51.5857
0.0005,0.01499,0.025,51.6977
0.0005,0.0151869,0.025,51.8162
0.0005,0.0153839,0.025,51.9361
0.0005,0.0155809,0.025,52.0538
0.0005,0.0157779,0.025,52.1693
0.0005,0.0159748,0.025,52.2992
0.0005,0.0161718,0.025,52.4131
0.0005,0.0163688,0.025,52.5358
0.0005,0.0165658,0.025,52.6565
0.0005,0.0167627,0.025,52.7714
0.0005,0.0169597,0.025,52.8826
0.0005,0.0171567,0.025,53.0081
0.0005,0.0173537,0.025,53.1269
0.0005,0.0175506,0.025,53.2365
0.0005,0.0177476,0.025,53.3533
0.0005,0.0179446,0.025,53.4676
0.0005,0.0181416,0.025,53.5831
0.0005,0.0183385,0.025,53.697
0.0005,0.0185355,0.025,53.8015
0.0005,0.0187325,0.025,53.9147
0.0005,0.0189294,0.025,54.0185
0.0005,0.0191264,0.025,54.1221
0.0005,0.0193234,0.025,54.2319
0.0005,0.0195204,0.025,54.3212
0.0005,0.0197173,0.025,54.4138
0.0005,0.0199143,0.025,54.5174
0.0005,0.0201113,0.025,54.6051
0.0005,0.0203083,0.025,54.6957
0.0005,0.0205052,0.025,54.7778
0.0005,0.0207022,0.025,54.857
0.0005,0.0208992,0.025,54.9408
0.0005,0.0210962,0.025,55.0173
0.0005,0.0212931,0.025,55.0871
0.0005,0.0214901,0.025,55.16
0.0005,0.0216871,0.025,55.2344
0.0005,0.021884,0.025,55.2994
0.0005,0.022081,0.025,55.3608
0.0005,0.022278,0.025,55.4145
0.0005,0.022475,0.025,55.4702
0.0005,0.0226719,0.025,55.5243
0.0005,0.0228689,0.025,55.5723
0.0005,0.0230659,0.025,55.6135
0.0005,0.0232629,0.025,55.6516
0.0005,0.0234598,0.025,55.6904
0.0005,0.0236568,0.025,55.7156
0.0005,0.0238538,0.025,55.7498
0.0005,0.0240508,0.025,55.7749
0.0005,0.0242477,0.025,55.7925
0.0005,0.0244447,0.025,55.8224
0.0005,0.0246417,0.025,55.8243
0.0005,0.0248387,0.025,55.8433
0.0005,0.0250356,0.025,55.846
0.0005,0.0252326,0.025,55.8483
0.0005,0.0254296,0.025,55.8475
0.0005,0.0256265,0.025,55.8395
0.0005,0.0258235,0.025,55.8305
0.0005,0.0260205,0.025,55.8237
0.0005,0.0262175,0.025,55.7888
0.0005,0.0264144,0.025,55.7733
0.0005,0.0266114,0.025,55.753
0.0005,0.0268084,0.025,55.7186
0.0005,0.0270054,0.025,55.6866
0.0005,0.0272023,0.025,55.6507
0.0005,0.0273993,0.025,55.6058
0.0005,0.0275963,0.025,55.5623
0.0005,0.0277933,0.025,55.5188
0.0005,0.0279902,0.025,55.4568
0.0005,0.0281872,0.025,55.3985
0.0005,0.0283842,0.025,55.3413
0.0005,0.0285811,0.025,55.2774
0.0005,0.0287781,0.025,55.1976
0.0005,0.0289751,0.025,55.1227
0.0005,0.0291721,0.025,55.0555
0.0005,0.029369,0.025,54.977
0.0005,0.029566,0.025,54.8848
0.0005,0.029763,0.025,54.7959
0.0005,0.02996,0.025,54.708
0.0005,0.0301569,0.025,54.6137
0.0005,0.0303539,0.025,54.5181
0.0005,0.0305509,0.025,54.4232
0.0005,0.0307479,0.025,54.3196
0.0005,0.0309448,0.025,54.212
0.0005,0.0311418,0.025,54.1065
0.0005,0.0313388,0.025,53.9929
0.0005,0.0315358,0.025,53.8753
0.0005,0.0317327,0.025,53.7584
0.0005,0.0319297,0.025,53.636
0.0005,0.0321267,0.025,53.5187
0.0005,0.0323236,0.025,53.3929
0.0005,0.0325206,0.025,53.264
0.0005,0.0327176,0.025,53.1423
0.0005,0.0329146,0.025,53.0249
0.0005,0.0331115,0.025,52.8891
0.0005,0.0333085,0.025,52.7587
0.0005,0.0335055,0.025,52.6314
0.0005,0.0337025,0.025,52.5031
0.0005,0.0338994,0.025,52.3684
0.0005,0.0340964,0.025,52.2355
0.0005,0.0342934,0.025,52.1086
0.0005,0.0344904,0.025,51.9735
0.0005,0.0346873,0.025,51.8447
0.0005,0.0348843,0.025,51.7221
0.0005,0.0350813,0.025,51.5873
0.0005,0.0352783,0.025,51.4623
0.0005,0.0354752,0.025,51.3373
0.0005,0.0356722,0.025,51.2173
0.0005,0.0358692,0.025,51.0916
0.0005,0.0360661,0.025,50.9698
0.0005,0.0362631,0.025,50.8515
0.0005,0.0364601,0.025,50.7325
0.0005,0.0366571,0.025,50.6148
0.0005,0.036854,0.025,50.5006
0.0005,0.037051,0.025,50.3858
0.0005,0.037248,0.025,50.2754
0.0005,0.037445,0.025,50.1689
0.0005,0.0376419,0.025,50.0622
0.0005,0.0378389,0.025,49.9593
0.0005,0.0380359,0.025,49.8606
0.0005,0.0382329,0.025,49.767
0.0005,0.0384298,0.025,49.6745
0.0005,0.0386268,0.025,49.5879
0.0005,0.0387791,0.025,49.525
0.0005,0.0389324,0.025,49.4661
0.0005,0.0390843,0.025,49.4131
0.0005,0.0392197,0.025,49.3653
0.0005,0.0393705,0.025,49.3237
0.000656953,0.0105,0.025,49.5718
0.000854999,0.0105,0.025,49.6428
0.00105293,0.0105,0.025,49.7127
0.00125085,0.0105,0.025,49.7914
0.00144878,0.0105,0.025,49.8743
0.0016467,0.0105,0.025,49.9548
0.00184463,0.0105,0.025,50.0516
0.00204256,0.0105,0.025,50.1343
0.00224048,0.0105,0.025,50.2134
0.00243841,0.0105,0.025,50.2895
0.00263634,0.0105,0.025,50.3792
0.00283426,0.0105,0.025,50.4577
0.00303219,0.0105,0.025,50.5354
0.00323012,0.0105,0.025,50.6105
0.00342804,0.0105,0.025,50.6822
0.00362597,0.0105,0.025,50.7546
0.0038239,0.0105,0.025,50.8285
0.00402182,0.0105,0.025,50.9002
0.00421975,0.0105,0.025,50.9698
0.00441767,0.0105,0.025,51.0338
0.0046156,0.0105,0.025,51.1114
0.00481353,0.0105,0.025,51.1666
0.00501145,0.0105,0.025,51.2365
0.00520938,0.0105,0.025,51.3065
0.00540731,0.0105,0.025,51.3593
0.00560523,0.0105,0.025,51.4302
0.00580316,0.0105,0.025,51.491
0.00600109,0.0105,0.025,51.5561
0.00619901,0.0105,0.025,51.6141
0.00639694,0.0105,0.025,51.6762
0.00659486,0.0105,0.025,51.7323
0.00679279,0.0105,0.025,51.789
0.00699072,0.0105,0.025,51.8441
0.00718864,0.0105,0.025,51.8912
0.00738657,0.0105,0.025,51.9583
0.0075845,0.0105,0.025,52.0103
0.00778242,0.0105,0.025,52.0599
0.00798035,0.0105,0.025,52.1041
