Points_0,Points_1,Points_2,Temperature
0.015,0.05,0.015,34.4362
0.015,0.0,0.015,34.7187
0.0165451,0.05,0.0147553,34.3435
0.0179389,0.05,0.0140451,34.2661
0.0190451,0.05,0.0129389,34.1384
0.0197553,0.05,0.0115451,33.9532
0.02,0.05,0.01,33.7259
0.0197553,0.05,0.00845492,33.4948
0.0190451,0.05,0.00706107,33.2828
0.0179389,0.05,0.00595492,33.1114
0.0165451,0.05,0.00524472,33.0074
0.015,0.05,0.005,32.996
0.0134549,0.05,0.00524472,33.088
0.0120611,0.05,0.00595492,33.2711
0.0109549,0.05,0.00706107,33.5042
0.0102447,0.05,0.00845492,33.77
0.01,0.05,0.01,34.0327
0.0102447,0.05,0.0115451,34.2638
0.0109549,0.05,0.0129389,34.422
0.0120611,0.05,0.0140451,34.4903
0.0134549,0.05,0.0147553,34.4607
0.0165451,0.0,0.0147553,34.6408
0.0179389,0.0,0.0140451,34.5915
0.0190451,0.0,0.0129389,34.4633
0.0197553,0.0,0.0115451,34.253
0.02,0.0,0.01,33.9945
0.0197553,0.0,0.00845492,33.7272
0.0190451,0.0,0.00706107,33.4823
0.0179389,0.0,0.00595492,33.2816
0.0165451,0.0,0.00524472,33.1551
0.015,0.0,0.005,33.1233
0.0134549,0.0,0.00524472,33.207
0.0120611,0.0,0.00595492,33.3848
0.0109549,0.0,0.00706107,33.6203
0.0102447,0.0,0.00845492,33.8924
0.01,0.0,0.01,34.1779
0.0102447,0.0,0.0115451,34.4393
0.0109549,0.0,0.0129389,34.6231
0.0120611,0.0,0.0140451,34.7174
0.0134549,0.0,0.0147553,34.7297
0.015,0.0015625,0.015,34.7382
0.015,0.003125,0.015,34.8794
0.015,0.0046875,0.015,35.1124
0.015,0.00625,0.015,35.4329
0.015,0.0078125,0.015,35.8203
0.015,0.009375,0.015,36.2362
0.015,0.0109375,0.015,36.6311
0.015,0.0125,0.015,36.9177
0.015,0.0140625,0.015,37.0812
0.015,0.015625,0.015,37.1563
0.015,0.0171875,0.015,37.1528
0.015,0.01875,0.015,37.1155
0.015,0.0203125,0.015,37.0598
0.015,0.021875,0.015,37.0017
0.015,0.0234375,0.015,36.9498
0.015,0.025,0.015,36.9151
0.015,0.0265625,0.015,36.8927
0.015,0.028125,0.015,36.8823
0.015,0.0296875,0.015,36.8822
0.015,0.03125,0.015,36.8767
0.015,0.0328125,0.015,36.8556
0.015,0.034375,0.015,36.8007
0.015,0.0359375,0.015,36.691
0.015,0.0375,0.015,36.5003
0.015,0.0390625,0.015,36.2086
0.015,0.040625,0.015,35.8399
0.015,0.0421875,0.015,35.4523
0.015,0.04375,0.015,35.0866
0.015,0.0453125,0.015,34.7917
0.015,0.046875,0.015,34.5822
0.015,0.0484375,0.015,34.451
0.0136253,0.0478279,0.0148073,34.5505
0.0136666,0.0445359,0.0148189,34.9723
0.0136993,0.0413797,0.0148278,35.677
0.0136651,0.0382736,0.0148185,36.3871
0.0136576,0.0351549,0.0148164,36.7861
0.0136565,0.0320309,0.0148161,36.9186
0.0136561,0.028906,0.014816,36.9395
0.0136554,0.0257808,0.0148158,36.9645
0.0136547,0.0226553,0.0148156,37.0309
0.0136543,0.0195292,0.0148155,37.1172
0.0136539,0.0164022,0.0148154,37.1586
0.0136554,0.0132785,0.0148158,36.9817
0.0136679,0.0101687,0.0148193,36.4227
0.013626,0.00704773,0.0148075,35.6174
0.013525,0.00395708,0.0147775,35.0099
0.0128678,0.001361,0.0145226,34.7587
0.010568,0.00130636,0.0123146,34.5691
0.0100555,0.00137317,0.00925685,34.0552
0.0114536,0.00137665,0.00647538,33.4998
0.0142155,0.00137366,0.00506193,33.1527
0.0172726,0.00137905,0.00554632,33.2103
0.0194526,0.00137924,0.00772523,33.6043
0.0199429,0.0013461,0.0107536,34.1357
0.0185713,0.00138338,0.0134994,34.5576
0.0163618,0.0021555,0.014811,34.7412
0.0163372,0.00544868,0.0148179,35.1969
0.0163333,0.00860013,0.014819,35.9328
0.0163477,0.0117142,0.0148149,36.6437
0.0163476,0.0148388,0.014815,36.9675
0.0163456,0.0179662,0.0148155,36.9795
0.016344,0.0210928,0.014816,36.8687
0.0163431,0.0242184,0.0148162,36.7725
0.0163429,0.0273432,0.0148163,36.7227
0.0163424,0.0304673,0.0148164,36.7055
0.0163444,0.0335932,0.0148159,36.6513
0.0163609,0.0367254,0.0148112,36.4246
0.0164023,0.0398638,0.0147993,35.8645
0.0164203,0.0429879,0.014794,35.1428
0.0163768,0.0460695,0.0148067,34.6007
0.017091,0.048641,0.0145418,34.3439
0.0194287,0.0486272,0.0123208,34.0774
0.0199436,0.0486259,0.00925106,33.6207
0.0185496,0.0486291,0.00647863,33.1961
0.0157969,0.0486415,0.00506391,32.9914
0.0127534,0.0486572,0.00553313,33.1698
0.0105678,0.0486693,0.00768572,33.6326
0.0100514,0.0486565,0.0107148,34.1591
0.0114069,0.0485814,0.013477,34.4952
0.013584,0.0461656,0.0147953,34.7191
0.0137066,0.0429447,0.0148298,35.2996
0.0136781,0.0398274,0.0148221,36.0552
0.0136594,0.0367159,0.0148169,36.633
0.0136568,0.0335932,0.0148162,36.8753
0.0136563,0.0304686,0.0148161,36.9348
0.0136558,0.0273435,0.0148159,36.9478
0.013655,0.0242181,0.0148157,36.9908
0.0136545,0.0210923,0.0148156,37.0728
0.0136541,0.0179655,0.0148154,37.1486
0.013654,0.014839,0.0148154,37.1072
0.0136603,0.0117219,0.0148172,36.7535
0.0136638,0.00861207,0.0148181,36.0094
0.0135589,0.00548666,0.0147878,35.2647
0.0136481,0.00256225,0.0148138,34.8511
0.0115304,0.00134807,0.0136003,34.7125
0.0100704,0.00135839,0.0108362,34.3389
0.0105331,0.00137749,0.00775349,33.7617
0.0127226,0.00137501,0.00554876,33.2882
0.0157835,0.00137474,0.00506178,33.1275
0.0185365,0.00138187,0.00646543,33.3785
0.0199357,0.00136575,0.00920064,33.8672
0.019469,0.00134799,0.0122422,34.3818
0.0174666,0.00130993,0.0143492,34.6503
0.0163996,0.00381544,0.0148001,34.9225
0.0163218,0.00703763,0.0148221,35.5505
0.0163434,0.0101558,0.0148161,36.3271
0.0163483,0.0132752,0.0148148,36.8578
0.0163464,0.0164029,0.0148153,36.9977
