Joule_heating,Points_0,Points_1,Points_2
6.12964,0.00033757,0.0255205,0.0249729
6.1296,0.000338544,0.024944,0.0249732
6.12734,0.000331381,0.024743,0.0249707
6.12725,0.00019807,0.0250599,0.0248985
6.12474,0.000335139,0.0257178,0.024972
6.1226,0.000190475,0.0248613,0.0248927
6.11916,0.000196824,0.0254044,0.0248976
6.11872,0.000187015,0.0256071,0.0248899
6.11844,0.000350233,0.0251355,0.024977
6.11807,0.000227477,0.0252316,0.0249192
6.11249,0.000332,0.0245398,0.0249709
6.11245,0.000349736,0.0253291,0.0249769
6.10756,0.000190523,0.0258114,0.0248927
6.1069,0.000336391,0.0259171,0.0249725
6.1037,0.000176898,0.0246393,0.0248816
6.09896,0.000332994,0.026118,0.0249713
6.09663,0.000193169,0.0260113,0.0248948
6.09601,0.000340176,0.0243404,0.0249738
6.0909,0.000192458,0.0244211,0.0248942
6.08682,0.000334709,0.0263158,0.0249719
6.08297,0.000177279,0.0262205,0.0248819
6.0769,0.000339504,0.0239547,0.0249735
6.07248,0.0005,0.0250356,0.025
6.07241,0.000221616,0.0240604,0.0249153
6.07045,9.99605e-05,0.0252289,0.0247999
6.06946,0.0005,0.0248387,0.025
6.06945,0.000201056,0.02423,0.0249008
6.06939,0.0005,0.0246417,0.025
6.06926,0.0005,0.0254296,0.025
6.06868,0.00019722,0.0264224,0.0248979
6.0663,0.0005,0.0256265,0.025
6.06339,0.000349024,0.0241494,0.0249767
6.06328,0.000322779,0.0237613,0.0249675
6.06205,0.0005,0.0252326,0.025
6.06029,0.000341568,0.0265123,0.0249742
6.05594,7.68932e-05,0.0249918,0.0247664
6.05512,0.0005,0.0258235,0.025
6.05483,8.19549e-05,0.0247917,0.0247743
6.05243,0.00016401,0.0238934,0.0248703
6.05183,0.0005,0.0244447,0.025
6.04838,7.70448e-05,0.0254715,0.0247667
6.0476,8.57601e-05,0.0259121,0.02478
6.04738,0.000201793,0.0266085,0.0249013
6.04641,0.0005,0.0260205,0.025
6.04099,0.0005,0.0262175,0.025
6.03752,0.000102092,0.0240903,0.0248028
6.03743,0.000342695,0.0267065,0.0249746
6.03741,7.39501e-05,0.0257099,0.0247617
6.03333,8.28733e-05,0.0260839,0.0247757
6.0329,0.0005,0.0242477,0.025
6.02769,8.30495e-05,0.0244838,0.024776
6.02629,0.000200366,0.0267958,0.0249003
6.02317,0.000329959,0.0235589,0.0249702
6.01906,6.65975e-05,0.0246364,0.0247493
6.01673,0.0005,0.0264144,0.025
6.01656,0.000339531,0.0269016,0.0249736
6.01646,0.0005,0.0238538,0.025
6.0141,0.0005,0.0240508,0.025
6.01287,8.51416e-05,0.0263643,0.0247791
6.00822,9.09001e-05,0.0265247,0.0247875
6.00787,7.95057e-05,0.0242884,0.0247705
6.00631,0.000192183,0.02699,0.024894
6.00555,0.000168733,0.0236583,0.0248745
6.00103,0.000337441,0.0233578,0.0249728
6.00023,0.000335448,0.0270988,0.0249721
5.99952,6.55413e-05,0.0262268,0.0247475
5.99609,0.0005,0.0236568,0.025
5.99501,0.000334161,0.0231584,0.0249717
5.99456,0.0005,0.0266114,0.025
5.99146,0.000255878,0.0249515,0.0247972
5.98791,0.000195001,0.0232563,0.0248962
5.98468,9.19085e-05,0.0266937,0.0247889
5.98367,0.000193217,0.0234484,0.0248948
5.97873,0.000667063,0.0251379,0.025
5.97637,2.2275e-05,0.0251419,0.0246476
5.97617,0.000186201,0.027193,0.0248893
5.97611,2.26892e-05,0.0253067,0.0246489
5.97593,0.000664371,0.0255311,0.025
5.9745,0.0005,0.0268084,0.025
5.97253,0.000668719,0.0247434,0.025
5.96931,0.000335466,0.0272971,0.0249722
5.96767,0.0005,0.0234598,0.025
5.96374,1.88659e-05,0.0248661,0.0246361
5.96194,0.000662346,0.0259195,0.025
5.96049,0.000295957,0.0260465,0.0248138
5.9604,8.85094e-05,0.0268708,0.024784
5.95861,0.000280992,0.0255971,0.0247827
5.95671,0.000703375,0.0253356,0.025
5.95667,0.000277352,0.0258501,0.0247894
5.95648,0.000333949,0.0229617,0.0249716
5.95596,0.000705681,0.0249414,0.025
5.95515,0.0005,0.0270054,0.025
5.95431,0.000670152,0.0243486,0.025
5.9537,0.000177654,0.0230518,0.0248822
5.95011,1.95739e-05,0.0258589,0.0246385
5.95003,1.85377e-05,0.0255884,0.0246349
5.94998,3.1635e-05,0.0239598,0.024675
5.94969,0.000699158,0.0257263,0.025
5.94899,0.0005,0.0232629,0.025
5.94892,0.000285711,0.0244307,0.0247979
5.94594,0.000707729,0.0245467,0.025
5.94572,1.94789e-05,0.0260122,0.0246382
5.94476,6.8504e-05,0.0237897,0.0247526
5.94403,1.74852e-05,0.0247095,0.0246311
5.94157,1.33012e-05,0.0249962,0.0246146
5.94047,0.000408359,0.0253494,0.0248318
5.9393,2.31747e-05,0.0241314,0.0246505
5.93649,1.34349e-05,0.0254527,0.0246151
5.93513,1.7573e-05,0.0245591,0.0246314
5.93434,0.000669064,0.0263027,0.025
5.93388,0.000275698,0.0264112,0.0248034
5.93366,1.95505e-05,0.0244077,0.0246384
5.93196,0.000325524,0.024786,0.0247803
5.93086,0.000700045,0.0261104,0.025
5.93077,8.21423e-05,0.0235044,0.0247746
5.93039,0.000192337,0.0273964,0.0248941
5.93012,0.0005,0.0230659,0.025
5.92984,0.0005,0.0272023,0.025
5.92837,0.000339024,0.027495,0.0249734
5.92757,8.78272e-05,0.0233453,0.024783
5.92736,1.26306e-05,0.0257204,0.0246117
5.92293,7.42415e-05,0.0270677,0.0247622
5.92279,0.000670573,0.0239539,0.025
5.92267,2.11124e-05,0.0264486,0.0246438
5.91982,0.000295118,0.0266075,0.0248207
5.91905,0.000708867,0.0241518,0.025
5.91635,1.70111e-05,0.0261644,0.0246293
5.91559,0.000283368,0.0262334,0.0247736
5.91536,0.000338695,0.0227644,0.0249733
5.91512,0.000195034,0.022852,0.0248962
5.91353,8.42306e-05,0.0231851,0.0247777
5.9122,1.73554e-05,0.0263014,0.0246306
5.91139,6.10708e-05,0.0236412,0.0247395
5.91073,0.000432625,0.0251288,0.0248134
5.90676,0.000437017,0.0257255,0.0248193
5.90551,2.1701e-05,0.0266012,0.0246457
5.90135,1.35329e-05,0.0242694,0.0246155
5.90131,0.000236104,0.0250996,0.0246947
5.90061,0.000198659,0.0275924,0.024899
5.89764,0.000705852,0.0264896,0.025
5.8968,0.0005,0.0273993,0.025
5.89598,0.000339797,0.0276922,0.0249736
5.89511,0.000200552,0.0246291,0.0246854
5.89354,0.0005,0.0228689,0.025
5.89308,0.000669629,0.0235589,0.025
5.89228,0.000334607,0.0225673,0.0249719
5.89057,0.000389772,0.0239861,0.0248225
5.88831,0.000257351,0.0241552,0.0247399
5.88775,2.17961e-05,0.0267571,0.024646
5.88707,0.000708688,0.0237567,0.025
5.88243,0.000451323,0.0263442,0.0248394
5.88096,0.000696218,0.0266891,0.025
5.88084,0.000195438,0.0226646,0.0248965
5.88071,7.504e-05,0.0273042,0.0247635
5.87626,0.000195682,0.0277832,0.0248967
5.87568,0.000432434,0.0245609,0.0247916
5.87341,0.000438492,0.0243142,0.0248088
5.87258,0.000334063,0.0278898,0.0249717
5.87213,8.34112e-05,0.0229084,0.0247765
5.87068,6.62472e-05,0.023045,0.0247487
5.86671,0.0005,0.0226719,0.025
5.86572,0.000681952,0.0268932,0.025
5.86495,-1.0842000000000001e-19,0.0252196,0.0245
5.86331,0.0005,0.0275963,0.025
5.86245,2.02998e-05,0.0269147,0.024641
5.86095,0.000487137,0.0261552,0.0248232
5.85972,0.000151873,0.0255436,0.0246104
5.85881,0.000284537,0.0269579,0.0247929
5.85517,0.000439769,0.024935,0.0247627
5.85436,8.85778e-05,0.0275052,0.0247841
5.85271,0.000667023,0.0231644,0.025
5.85197,0.000706438,0.0233616,0.025
5.85115,-1.0842000000000001e-19,0.0253755,0.0245
5.85043,-1.0842000000000001e-19,0.0247767,0.0245
5.84976,0.000309821,0.0267844,0.0247769
5.84859,-1.0842000000000001e-19,0.0249332,0.0245
5.84832,-1.0842000000000001e-19,0.0250631,0.0245
5.84832,1.26284e-05,0.023825,0.0246117
5.84743,0.000278934,0.0236233,0.0247666
5.84533,-1.0842000000000001e-19,0.025513,0.0245
5.84263,0.000334447,0.0223717,0.0249718
5.84178,0.00022692,0.0249283,0.0246294
5.84162,1.96789e-05,0.0234153,0.0246389
5.84008,-1.0842000000000001e-19,0.0259517,0.0245
5.83995,-1.0842000000000001e-19,0.0256643,0.0245
5.83791,0.000263877,0.0253193,0.0246464
5.8379,0.000550644,0.0241672,0.0248423
5.83775,8.72956e-05,0.0227536,0.0247823
5.83752,0.000178144,0.0224629,0.0248826
5.83674,1.62438e-05,0.0235597,0.0246264
